message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:06.443032338Z
[19:59:07] [startup]: Initializing database...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:07.782743277Z
[19:59:08] [startup]: ✅ Database Status: postgresql (fully operational),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.226040800Z
[19:59:08] [startup]: Starting web server...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.226044503Z
[19:59:08] [startup]: Loading commands...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.232508843Z
[19:59:08] [startup]: ✅ Web Server running on 0.0.0.0:8080,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.232513748Z
[19:59:08] [startup]: Health endpoint: http://localhost:8080/health,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.232517316Z
[19:59:08] [startup]: Ready endpoint: http://localhost:8080/ready,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.232520179Z
[19:59:08] [startup]: Commands loaded: 98,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.388413526Z
[19:59:08] [startup]: Loading handlers...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.388418491Z
[dotenv@17.3.1] injecting env (0) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.390247672Z
[19:59:08] [startup]: Handlers loaded,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.416419161Z
[19:59:08] [startup]: Logging into Discord...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""6a5f8cd4-988c-43a4-910a-c9a694463113"",""replica"":""4a699178-6e4e-4c81-8c15-fbf718141c0a""}",2026-04-12T19:59:08.416421811Z
